acc_id,geohash7,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
217797_2019,u281vyp,11.512430083000028,48.154143549000025,2019,9,16,4,0,6,4,1
171845_2017,u283c1c,11.647014328000068,48.130401584000026,2017,4,15,4,0,5,2,1
172483_2017,u283c1c,11.647020102000056,48.130336594000035,2017,4,19,1,0,5,2,1
178056_2017,u283c1c,11.647015446000069,48.13032790700004,2017,7,18,5,0,4,2,1
171512_2018,u283c1c,11.647007311000035,48.130312732000036,2018,1,16,2,1,2,6,1
173110_2018,u283c1c,11.647028629000035,48.130352502000044,2018,2,8,4,0,5,3,1
174387_2018,u283c1c,11.647014286000054,48.13032574500005,2018,3,17,4,0,4,2,1
180481_2018,u283c1c,11.647015446000069,48.13032790700004,2018,6,18,3,0,5,2,1
186583_2018,u283c1c,11.647029023000073,48.13035323500003,2018,9,6,2,1,5,3,1
191675_2018,u283c1c,11.647028629000035,48.130352502000044,2018,12,10,5,1,5,3,1
210713_2019,u283c1c,11.647031342000046,48.13035756100004,2019,6,17,4,0,5,3,1
214002_2019,u283c1c,11.647042974000044,48.13037926000004,2019,7,17,3,0,4,2,1
214003_2019,u283c1c,11.647557652000046,48.13026333400006,2019,7,17,3,0,5,3,1
171846_2017,u281xsq,11.588978287000037,48.100796479000046,2017,4,18,4,0,5,3,1
175670_2017,u281xsq,11.589017941000064,48.10073472100005,2017,6,13,5,0,3,6,1
218150_2019,u281xsq,11.589108013000045,48.10074685600006,2019,9,15,7,0,2,6,1
171847_2017,u284p83,11.581241417000058,48.16629702600005,2017,4,8,4,0,1,3,1
180754_2017,u284p83,11.581228786000054,48.166230257000045,2017,8,13,6,0,5,3,1
183404_2018,u284p83,11.581638740000074,48.16621322600008,2018,7,21,7,0,1,7,1
171897_2017,u284phj,11.565156335000038,48.18707078000007,2017,4,13,3,0,0,6,1
183788_2017,u284phj,11.565853951000063,48.187132480000066,2017,10,16,6,0,3,2,1
176899_2018,u284phj,11.565840613000034,48.18722047400007,2018,5,7,2,0,3,2,1
206398_2019,u284phj,11.56585265800004,48.18722129100007,2019,4,7,3,0,5,2,1
171898_2017,u281yff,11.549829274000047,48.13604341000007,2017,4,17,3,0,3,6,1
176855_2017,u281yff,11.549989058000053,48.13602683300008,2017,6,17,2,0,0,1,1
186771_2017,u281yff,11.550732363000064,48.135848685000035,2017,12,8,4,0,0,1,1
173050_2018,u281yff,11.55052960000006,48.13601942700007,2018,2,9,3,0,3,2,1
174941_2018,u281yff,11.550556363000055,48.136001487000044,2018,4,19,3,0,3,2,1
178938_2018,u281yff,11.549803525000069,48.13604599300004,2018,6,7,3,0,3,2,1
180078_2018,u281yff,11.550556363000055,48.136001487000044,2018,6,18,2,0,3,2,1
188596_2018,u281yff,11.549860823000074,48.13604024400007,2018,10,10,4,0,5,3,1
189412_2018,u281yff,11.549803525000069,48.13604599300004,2018,10,8,3,0,5,2,1
189815_2018,u281yff,11.549753638000029,48.13604962700003,2018,11,6,2,0,0,1,1
212095_2019,u281yff,11.550339086000063,48.13615256200006,2019,7,14,4,0,6,4,1
216929_2019,u281yff,11.550322984000044,48.13616458000007,2019,9,14,7,0,1,6,1
171900_2017,u281yqt,11.53207593700006,48.156842740000066,2017,4,17,3,0,0,6,1
174958_2018,u281yqt,11.531652396000027,48.15633554300007,2018,4,14,3,0,3,6,1
171904_2017,u281z3g,11.573841892000074,48.13034370100007,2017,4,17,3,0,1,5,1
182977_2017,u281z3g,11.573149020000074,48.130145199000026,2017,9,13,6,0,3,6,1
187943_2017,u281z3g,11.572935636000068,48.129783934000045,2017,12,9,6,2,6,7,1
180426_2018,u281z3g,11.573336991000076,48.13002705500002,2018,6,8,3,0,5,3,1
182006_2018,u281z3g,11.573320494000027,48.13001670700004,2018,7,13,6,0,5,3,1
182925_2018,u281z3g,11.573407842000053,48.130071497000074,2018,7,8,2,0,6,4,1
185178_2018,u281z3g,11.573691729000075,48.129743372000064,2018,8,19,3,0,1,5,1
188115_2018,u281z3g,11.573241361000044,48.130076004000045,2018,10,13,3,0,5,3,1
215828_2019,u281z3g,11.573273451000034,48.12998822800006,2019,8,12,5,0,5,7,1
218290_2019,u281z3g,11.573482718000035,48.13011846200003,2019,10,11,6,0,1,6,1
171936_2017,u281yy2,11.547596417000024,48.15478991000003,2017,4,8,2,0,6,7,1
171937_2017,u284p5h,11.563304140000069,48.181451917000075,2017,4,10,2,0,5,3,1
186466_2017,u284p5h,11.563263530000027,48.18145116800008,2017,11,13,5,1,5,3,1
183810_2018,u284p5h,11.564435103000053,48.18147276300005,2018,8,0,7,0,9,1,1
184932_2018,u284p5h,11.563223188000052,48.18147644800007,2018,8,5,5,0,5,7,1
191008_2018,u284p5h,11.563235660000036,48.181424059000044,2018,11,15,6,1,5,3,1
218264_2019,u284p5h,11.563223188000052,48.18147644800007,2019,10,13,7,0,5,3,1
171938_2017,u2839t2,11.66807331900003,48.10553548700005,2017,4,18,2,0,0,7,1
176274_2018,u2839t2,11.66786128800004,48.10564605300005,2018,4,9,1,0,5,2,1
187066_2018,u2839t2,11.667887346000045,48.10566529100005,2018,9,12,2,0,0,7,1
211790_2019,u2839t2,11.667778024000027,48.105576145000036,2019,7,22,3,0,5,3,1
171940_2017,u281wk7,11.529111303000036,48.09978101100006,2017,4,16,2,0,4,2,1
173157_2017,u281wk7,11.53003566700005,48.09982240200003,2017,5,18,3,0,5,3,1
175008_2017,u281wk7,11.52908730200005,48.09987223700006,2017,6,14,5,0,5,3,1
185553_2017,u281wk7,11.529266369000027,48.10042376300004,2017,11,17,3,0,6,4,1
186366_2017,u281wk7,11.52932412000007,48.10015917400006,2017,11,11,4,0,6,3,1
171638_2018,u281wk7,11.529373732000067,48.100727651000064,2018,1,15,7,0,1,6,1
178458_2018,u281wk7,11.528977506000047,48.09958141800007,2018,5,6,2,0,1,5,1
182927_2018,u281wk7,11.529180392000058,48.100146375000065,2018,7,12,2,0,3,6,1
187646_2018,u281wk7,11.52907719800004,48.09984248100005,2018,9,20,7,0,4,3,1
207534_2019,u281wk7,11.529072466000061,48.09983260300004,2019,4,11,1,0,5,2,1
213886_2019,u281wk7,11.529380641000044,48.10074714900002,2019,7,8,4,0,5,2,1
217428_2019,u281wk7,11.529367858000054,48.10071107100004,2019,9,18,2,0,5,3,1
218108_2019,u281wk7,11.529060289000027,48.099778700000066,2019,9,18,1,0,5,2,1
219743_2019,u281wk7,11.529009368000061,48.09967603800004,2019,10,22,5,0,5,2,1
221141_2019,u281wk7,11.529090201000033,48.09988077600008,2019,11,20,2,0,5,2,1
171942_2017,u281z5t,11.56537061900002,48.13968951900007,2017,4,9,2,0,5,7,1
179114_2017,u281z5t,11.565164638000054,48.13940758000007,2017,7,17,4,1,2,6,1
185265_2017,u281z5t,11.56554262700007,48.13985378400008,2017,11,3,4,0,6,7,1
177368_2018,u281z5t,11.565446438000038,48.13976875200007,2018,5,16,2,0,6,4,1
187336_2018,u281z5t,11.565342519000067,48.139653464000034,2018,9,9,5,0,0,7,1
207554_2019,u281z5t,11.565183543000044,48.13943554600007,2019,4,10,2,1,0,1,1
210203_2019,u281z5t,11.565834352000024,48.13952497600008,2019,6,22,3,0,6,4,1
211054_2019,u281z5t,11.565252749000026,48.13972621000005,2019,6,19,6,0,3,2,1
214993_2019,u281z5t,11.565286420000064,48.139715729000045,2019,8,22,7,0,0,1,1
171944_2017,u281vgb,11.503206909000028,48.14108201000005,2017,4,11,2,0,3,6,1
174074_2017,u281vgb,11.502986151000073,48.14160864100006,2017,5,7,5,0,5,3,1
175573_2018,u281vgb,11.502953175000071,48.140842702000036,2018,4,8,4,0,3,2,1
178586_2018,u281vgb,11.50306958400006,48.14103438700005,2018,5,12,3,0,0,5,1
217599_2019,u281vgb,11.50307445900006,48.14127766800004,2019,9,7,6,0,1,5,1
171945_2017,u281vdt,11.499435199000061,48.135109442000044,2017,4,9,2,0,6,4,1
187335_2017,u281vdt,11.499311535000059,48.134922532000076,2017,12,16,6,0,5,3,1
171947_2017,u281xw6,11.582771231000038,48.11132981800006,2017,4,17,2,0,6,4,1
171948_2017,u281z2r,11.579349930000037,48.12168451500002,2017,4,18,2,0,1,5,1
184698_2017,u281z2r,11.579345152000027,48.12168637000008,2017,10,12,1,0,6,7,1
171949_2017,u281wz9,11.548368365000046,48.11751723000002,2017,4,18,2,0,5,2,1
